🕘️更新时间,#genre#
2026-03-16 01:15:25,https://iptv.catvod.com/live.php?id=CCTV1

📺央视频道,#genre#
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1
CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-1,http://69.30.246.194/live/cctv1.m3u8
CCTV-1,http://111.56.90.90/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/1.m3u8?fmt=ts2hls
CCTV-1,http://42.121.106.99:443/608807420
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-2,http://156.238.248.80:8880/play/2.m3u8
CCTV-2,http://113.251.226.95:8003/rtp/235.254.198.52:1484
CCTV-2,http://iptv.4666888.xyz/iptv2A.php?id=8
CCTV-3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-3,http://183.129.255.66:8480/hls/3/index.m3u8
CCTV-3,http://113.251.226.95:8003/rtp/235.254.198.53:1488
CCTV-3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV-4,http://156.238.248.80:8880/play/4.m3u8
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV-4,http://www.lizhinas.top:10086/rtp/239.252.220.184:5140
CCTV-4,http://iptv.4666888.xyz/iptv2A.php?id=10
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5
CCTV-5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV-5,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV-5+,https://iptv.catvod.com/live.php?id=CCTV5%2B
CCTV-5+,http://107.150.60.122/live/cctv5p.m3u8
CCTV-5+,http://156.238.248.80:8880/play/6.m3u8
CCTV-5+,http://hs.hejd.net:7088/rtp/233.50.201.220:5140
CCTV-5+,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV-6,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009
CCTV-6,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV-6,http://www.lizhinas.top:10086/rtp/239.252.219.237:5140
CCTV-6,http://156.238.248.80:8880/play/7.m3u8
CCTV-7,http://156.238.248.80:8880/play/8.m3u8
CCTV-7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-7,http://223.95.198.3:8000/hls/7/index.m3u8
CCTV-7,http://58.35.95.16:9898/rtp/233.18.204.73:5140
CCTV-7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV-8,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-8,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
CCTV-8,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009
CCTV-8,http://113.251.226.95:8003/rtp/235.254.198.57:1504
CCTV-8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV-9,http://156.238.248.80:8880/play/10.m3u8
CCTV-9,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009
